Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
12/14/1920,"Cricklewood, England",Handley Page Transport,,Handley Page HP-16,8,4,0
1/8/1928,"Near Canajoharie, New York",Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,3,3,0
4/19/1928,"Minuesa, Spain",Iberia Airlines,,Rohrbach Roland,9,9,0
8/25/1928,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,7,7,0
12/31/1928,"Reims, France",CIDNA,,Blériot Spad 66,3,2,0
3/30/1929,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,4,4,0
11/4/1929,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Mexico City - Juarez,Lockheed Vega 5,4,4,0
11/6/1929,"Near Godstone, Surrey, England",Deutsche Lufthansa,Amsterdam - Croyden,Junkers G-24,8,7,0
11/15/1929,"Off Corsica, France",Air Union,,Liore et Olivier 190,3,3,0
11/30/1929,"Vancouver, Washington",Varney Air Lines,,Stearman M-2 Speedmail,1,1,0
1/10/1930,"Brawnson, Nebraska",Boeing Air Transport,,Boeing 95,1,1,0
4/18/1930,"Jersey City, New Jersey",Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,4,4,0
7/10/1930,"Arkansas Pass, Texas",Cross Airways,,Lockheed Vega 5,5,5,0
8/22/1930,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Brun -  Pressburg,Ford 5-AT-C Tri Motor,11,10,0
9/25/1930,"Southesk, Saskatchewan, Canada",Western Canada Airways,Calgary - Moosejaw,,3,3,0
10/30/1930,"Near Neufchatel, France",Imperial Airways,"Paris, France - London, England",Handley Page W-8,6,3,0
1/22/1931,"Bluff Mountain, Washington",Varney Air Lines,Portland - Pasco,Boeing 40,1,1,0
2/20/1931,"Bagot, Manitoba, Canada",Western Canada Airways,Winnigeg - Moosejaw,Fokker Universal F-14,3,2,0
5/5/1931,"Burbank, California",PacifiAir Transport,San Diego - Los Angeles,Boeing 40,2,2,0
6/13/1931,"Saarbrucken, Germany",Deutsche Lufthansa,Cologne - Saarbrucken,Dornier Merkur,4,4,0
11/24/1931,"Near Tsinan, China",China National Aviation Corporation,Nanking - Peiking,Stinson,3,3,0
11/26/1931,"Pasco, Washington",Varney Air Lines,"Portland,  WA - Pasco, WA",Boeing 40,1,1,0
12/31/1931,"Springfield, Ohio",American Airways,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,5,4,0
1/21/1932,"Colvin Park, Ilinois",Northwest Airways,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,1,1,0
3/19/1932,"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,7,7,0
5/16/1932,"Burbank, California",PacifiAir Transport,San Diego - Burbank - Oakland,Boeing 40,3,3,0
11/2/1932,"Echterpfuhl, Germany",Deutsche Lufthansa,Nuremberg - Frankfort,Junkers F-13,5,5,0
5/9/1933,"Viladrau, Spain",Aeropostale - La Tecoere Company,Paris - Morroco,Latecoere 28-1,6,6,0
